rank,title,writer,pub,img_url,book_url
1위,작별인사,김영하 저,복복서가,https://image.yes24.com/Goods/108887930/XL,http://www.yes24.com/Product/Goods/108887930
2위,설민석의 한국사 대모험 21 ,"설민석,스토리박스 글/정현희 그림/강석화 감수",단꿈아이,https://image.yes24.com/Goods/109780053/XL,http://www.yes24.com/Product/Goods/109780053
3위,역행자  ,자청 저,웅진지식하우스,https://image.yes24.com/Goods/109705390/XL,http://www.yes24.com/Product/Goods/109705390
4위,불편한 편의점,김호연 저,나무옆의자,https://image.yes24.com/Goods/99308021/XL,http://www.yes24.com/Product/Goods/99308021
5위,인플레이션에서 살아남기,오건영 저,페이지2,https://image.yes24.com/Goods/109323044/XL,http://www.yes24.com/Product/Goods/109323044
6위,Go Go 카카오프렌즈 24 스웨덴 ,김미영 글/김정한 그림,아울북,https://image.yes24.com/Goods/109726126/XL,http://www.yes24.com/Product/Goods/109726126
7위,기분을 관리하면 인생이 관리된다,김다슬 저,클라우디아,https://image.yes24.com/Goods/108624716/XL,http://www.yes24.com/Product/Goods/108624716
8위,정재승의 인간탐구보고서 9 ,"정재승 기획/정재은,이고은 글/김현민 그림",아울북,https://image.yes24.com/Goods/109724541/XL,http://www.yes24.com/Product/Goods/109724541
9위,룬의 아이들 - 블러디드 5,전민희 저,엘릭시르,https://image.yes24.com/Goods/109743624/XL,http://www.yes24.com/Product/Goods/109743624
10위,세상의 마지막 기차역,무라세 다케시 저/김지연 역,모모,https://image.yes24.com/Goods/109308932/XL,http://www.yes24.com/Product/Goods/109308932
